"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"447","Matt Cassel","","","QB60","","","","354.0"
"448","Albert Wilson","","","WR141","","","","355.0"
"449","Scott Tolzien","","","QB61","","","","358.0"
"450","Landry Jones","","","QB62","","","","359.0"
"451","Kellen Clemens","","","QB63","","","","360.0"
"452","Drew Stanton","","","QB64","","","","362.0"
"453","David Carr","","","QB65","","","","363.0"
"454","Tom Savage","","","QB66","","","","364.0"
"455","Chad Pennington","","","QB67","","","","366.0"
"456","Dion Sims","","","TE52","","","","368.0"
"457","Kai Forbath","LAR","8","K36","","","","370.0"
"458","Darren Fells","","","TE53","","","","371.0"
"459","JaMarcus Russell","","","QB68","","","","372.0"
"460","Garrett Celek","","","TE54","","","","373.0"
"461","Ryan Griffin","","","TE55","","","","374.0"
"462","MyCole Pruitt","PIT","8","TE56","","","","376.0"
"463","Johnny Manziel","","","QB69","","","","377.0"
"464","Chase Daniel","","","QB70","","","","378.0"
"465","Mychal Rivera","","","TE57","","","","380.0"
"466","A.J. Derby","","","TE58","","","","381.0"
"467","Jermaine Gresham","","","TE59","","","","382.0"
"468","Marcedes Lewis","","","TE60","","","","383.0"
"469","Blake Bell","","","TE61","","","","384.0"
"470","Charlie Batch","","","QB71","","","","385.0"
"471","Rob Bironas","","","K37","","","","386.0"
"472","Maxx Williams","","","TE62","","","","387.0"
"473","Josh Hill","","","TE63","","","","388.0"
"474","Ed Dickson","","","TE64","","","","389.0"
""
""
